Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System,Polycrystalline Dielectric Constant
mp-989643,LaCoN3,C2/m,-0.796,0,0.493,TRUE,160.62,10,TRUE,768,4.959,monoclinic,"12.743883999999996,"
mp-1029627,Mg2ReN3,C2/c,-0.587,0,0.327,TRUE,311.45,24,TRUE,,5.904,monoclinic," 10.552642333333331,"
mp-7084,SrCaSi,Pnma,-0.451,0,0.422,TRUE,365.424,12,FALSE,,2.832,orthorhombic," 16.614,"
mp-1029293,CsVN2,Fd3m,-0.928,0,0.504,FALSE,148.358,8,TRUE,,4.743,cubic," 18.97300233333333,"
mp-27891,Bi2SO2,Pnnm,-1.378,0,0.856,TRUE,183.21,10,FALSE,,8.738,orthorhombic," 10.727195666666667,"
mp-541772,Bi4RuBr2,C2/m,-0.319,0,0.57,TRUE,473.152,14,FALSE,,7.698,monoclinic," 10.152000578970009,"
mp-1285,PtO2,Pnnm,-0.937,0,0.663,TRUE,67.038,6,FALSE,,11.25,orthorhombic," 21.334999999999997,"
mp-996983,AgAuO2,P21/c,-0.48,0,0.673,TRUE,122.687,8,TRUE,,9.118,monoclinic," 10.223538666666668,"
mp-1095634,TeAsRu,P21/c,-0.419,0,0.993,TRUE,244,12,FALSE,,8.264,monoclinic," 20.551166333333335,"
mp-1221557,MnZn(CrS2)4,F43m,-1.108,0,0.34,FALSE,256.83,14,TRUE,,3.781,cubic," 10.690977333332988,"
mp-29175,Ca2AuN,Cmcm,-0.906,0,0.089,TRUE,161.654,8,FALSE,,5.981,orthorhombic," 14.506786666666668,"
mp-12902,ErAgTe2,P421m,-0.9,0,1.311,TRUE,236.163,8,FALSE,,7.458,tetragonal," 11.225693333333332,"
mp-22192,Si3Ru2,Pbcn,-0.635,0,0.549,TRUE,559.876,40,FALSE,,6.795,orthorhombic," 20.442000000000004,"
mp-384,MgP4,P21/c,-0.307,0,0.667,TRUE,199.577,10,FALSE,,2.466,monoclinic," 10.286,"
mp-865713,Li2TlBi,Fm3m,-0.376,0,0.236,TRUE,92.664,4,TRUE,,7.656,cubic," 95.4376000000001,"
mp-149,Si,Fd3m,0,0,0.853,TRUE,40.888,2,FALSE,,2.281,cubic," 13.003383000000028,"
mp-17401,Rb3Sn4Au,Pmmn,-0.338,0,1.185,TRUE,651.468,16,FALSE,,4.732,orthorhombic," 11.358666666666664,"
mp-19765,In2HgTe4,I4,-0.294,0,1.016,TRUE,261.563,7,FALSE,,5.972,tetragonal," 11.140975000000003,"
mp-27411,TlP5,Pmc21,-0.025,0,1.419,TRUE,587.16,24,FALSE,,4.064,orthorhombic," 10.781999999999998,"
mp-1217322,TeSe,P1,-0.007,0,0.947,TRUE,188.786,6,TRUE,,5.451,triclinic," 20.83114066666667,"
mp-30459,ScNiBi,F43m,-0.627,0,0.234,TRUE,61.208,3,FALSE,,8.481,cubic," 22.556865000000013,"
mp-540696,Ca3(SiAs2)2,P21/c,-0.824,0,0.823,TRUE,871.632,36,FALSE,,3.628,monoclinic," 10.89433333333333,"
mp-8212,Cd(PtO2)3,Cmmm,-1.091,0,0.28,TRUE,122.386,10,FALSE,,10.768,orthorhombic," 17.373424333333332,"
mp-1228809,AlReSi,I4mm,-0.483,0,0.293,TRUE,41.287,3,TRUE,,9.704,tetragonal," 18.38328,"
mp-18971,Mn(PtO2)3,Cmmm,-1.192,0,0.241,FALSE,118.843,10,FALSE,,10.286,orthorhombic," 16.221130666666664,"
mp-4175,ZnSnP2,I42d,-0.195,0,0.706,TRUE,186.239,8,FALSE,,4.388,tetragonal," 12.346318666666669,"
mp-12418,SrCaGe,Pnma,-0.613,0,0.457,TRUE,373.167,12,FALSE,,3.566,orthorhombic," 17.253999999999998,"
mp-13305,SmSnAu,F43m,-0.858,0,0.066,TRUE,79.915,3,TRUE,,9.684,cubic," 24.925565000000002,"
mp-2160,Sb2Se3,Pnma,-0.256,0,0.857,TRUE,597.341,20,FALSE,,5.342,orthorhombic," 15.762666666666666,"
mp-3486,KSnSb,P63mc,-0.34,0,0.28,TRUE,227.725,6,FALSE,,4.077,hexagonal," 12.616454000000028,"
mp-1183302,Ba(GaAs)2,P21/c,-0.651,0,1.266,TRUE,528.995,20,FALSE,,5.357,monoclinic," 13.58882,"
mp-20305,InAs,F43m,-0.229,0,0.305,TRUE,59.05,2,FALSE,,5.336,cubic," 17.290701999999694,"
mp-7774,Na2SbAu,Cmcm,-0.459,0,0.639,TRUE,211.473,8,FALSE,,5.728,orthorhombic," 18.05320333333333,"
mp-7939,NaNbSe2,P63/mmc,-1.005,0,0.556,TRUE,167.144,8,FALSE,,5.441,hexagonal," 12.352596666666708,"
mp-1025496,LiNbSe2,P63/mmc,-1.074,0,0.732,FALSE,147.706,8,TRUE,,5.796,hexagonal," 13.329274,"
mp-15074,Sr(PIr)2,P3221,-0.906,0,0.376,TRUE,284.926,15,FALSE,,9.336,trigonal," 39.096000000000316,"
mp-15685,Na2CuAs,Cmcm,-0.373,0,0.743,TRUE,169.908,8,FALSE,,3.605,orthorhombic," 10.384333333335473,"
mp-28520,Rb2SnTe5,I4/mcm,-0.533,0,0.592,TRUE,625.944,16,TRUE,,4.922,tetragonal," 12.189945,"
mp-27910,Bi2Te2S,R3m,-0.42,0,0.628,TRUE,169.883,5,FALSE,,6.893,trigonal," 17.837132999999984,"
mp-38605,Sn(BiTe2)2,R3m,-0.259,0,0.455,TRUE,244.38,7,TRUE,,7.115,trigonal," 36.183999999984394,"
mp-961673,TiFeTe,F43m,-0.511,0,1.125,TRUE,50.913,3,TRUE,,7.544,cubic," 21.359200666666982,"
